# IPBES South_America
# Argentina
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-56.32234473 -28.85245045
-56.3932448 -28.99724782
-56.4760046 -29.09248748
-56.57067583 -29.13806609
-56.63583981 -29.20302337
-56.67152239 -29.28735931
-56.77244646 -29.41789398
-56.93861203 -29.59483408
-57.08935218 -29.71617034
-57.22464108 -29.78210947
-57.30070879 -29.85652353
-57.31750363 -29.93941253
-57.40522437 -30.03392872
-57.56387102 -30.13996876
-57.60890703 -30.18782114
-57.64575233 -30.22699188
-57.65089413 -30.29499806
-57.71272498 -30.38444997
-57.83121904 -30.49524424
-57.87250851 -30.59105234
-57.81855832 -30.71197519
-57.81060015 -30.85863291
-57.83408708 -30.91744069
-57.88630612 -30.93738779
-57.89829505 -30.97521494
-57.87007972 -31.03102549
-57.86842607 -31.10440602
-57.89333411 -31.19535654
-57.94836951 -31.29943288
-58.03342892 -31.41658335
-58.05384111 -31.49487314
-58.00965776 -31.53435394
-57.9879795 -31.57621185
-57.98888384 -31.6206019
-58.00699643 -31.68493906
-58.04234311 -31.769275
-58.09585405 -31.83180348
-58.16750342 -31.87267954
-58.18902666 -31.92425262
-58.16039792 -31.9865744
-58.15636715 -32.05153167
-58.17698605 -32.11902109
-58.16479041 -32.18485687
-58.1197544 -32.24893564
-58.12303585 -32.32190276
-58.20114478 -32.47166107
-58.219955 -32.56395517
-58.17101742 -32.95927988
-58.20080889 -33.01467702
-58.25039242 -33.0782907
-58.30891598 -33.08294158
-58.37596615 -33.07183115
-58.42446448 -33.11151865
-58.45482439 -33.28597829
-58.54722185 -33.6635263
-58.53058204 -33.75302988
-58.45660723 -33.89834401
-58.4294771 -33.99094817
-58.40903907 -34.06071136
-58.39247677 -34.19300303
-58.4354974 -34.25253428
-58.47526242 -34.26297291
-58.52551775 -34.29620086
-58.4661932 -34.45737965
-58.41893511 -34.53158701
-58.28336199 -34.68351572
-57.76354875 -34.89456227
-57.54782549 -35.01899912
-57.30368018 -35.18849782
-57.17063921 -35.36254404
-57.15888282 -35.50599782
-57.35388384 -35.72035166
-57.37545875 -35.900289
-57.33546119 -36.0267929
-57.26497453 -36.1440984
-57.07617469 -36.29675058
-56.93716509 -36.35256113
-56.74945045 -36.34646331
-56.71738522 -36.38904469
-56.69808407 -36.42645843
-56.66824093 -36.73527679
-56.67203915 -36.8512387
-56.72712623 -36.95769215
-57.08772437 -37.4463445
-57.39574175 -37.74462086
-57.50725949 -37.90931365
-57.54694699 -38.08568532
-57.64562313 -38.16960784
-58.1791823 -38.43584482
-59.00721961 -38.6733497
-59.67624854 -38.79664967
-59.82833228 -38.83819752
-60.90395138 -38.97389983
-61.11223324 -38.99291676
-61.38286272 -38.98082448
-61.60256507 -38.99880788
-61.84789893 -38.96180755
-62.06690365 -38.91912282
-62.18924761 -38.81328948
-62.33476844 -38.80006032
-62.37445594 -38.85297698
-62.30360755 -38.98805918
-62.33810157 -39.15063323
-62.29508094 -39.2432374
-62.20909136 -39.26184092
-62.1264349 -39.30979664
-62.05367449 -39.37387542
-62.17935157 -39.38049
-62.13056902 -39.43154632
-62.07679969 -39.46151865
-62.08276832 -39.56838551
-62.13152503 -39.82542409
-62.25397234 -39.88045949
-62.2869419 -39.89529062
-62.32396807 -39.95068776
-62.40187029 -40.19656422
-62.42701087 -40.35593434
-62.39360206 -40.45877044
-62.24635006 -40.67457122
-62.30185055 -40.81461435
-62.395049 -40.89078541
-62.79799598 -41.0471583
-62.95901974 -41.10968678
-63.21282854 -41.15247487
-63.62179582 -41.15981292
-63.77300106 -41.1499944
-64.12318641 -41.00778086
-64.38345476 -40.92241139
-64.62150224 -40.85450856
-64.85296098 -40.81378753
-64.81986223 -40.79322031
-64.80441098 -40.75653004
-64.86947161 -40.73585947
-64.91688473 -40.73131194
-65.0694594 -40.8053126
-65.13338314 -40.88065683
-65.15188331 -40.94700937
-65.15495806 -41.10565602
-65.1278796 -41.23877451
-65.01827389 -41.56691985
-65.00700843 -41.74510019
-65.05907244 -41.96989267
-64.98636369 -42.10208099
-64.89804867 -42.16181894
-64.69950782 -42.22083343
-64.62245826 -42.26103769
-64.53773475 -42.25462982
-64.5117415 -42.2702361
-64.52419552 -42.2991749
-64.57411496 -42.3559673
-64.57098853 -42.41596364
-64.42042925 -42.43374033
-64.26459897 -42.42164804
-64.10086219 -42.39508636
-64.06218238 -42.35338348
-64.06117469 -42.26610198
-64.25294593 -42.25075408
-64.22850298 -42.21824961
-64.08326636 -42.18279957
-63.89289039 -42.12461191
-63.79555783 -42.11386321
-63.72946367 -42.1529306
-63.68473772 -42.18869069
-63.62985735 -42.28274179
-63.59588009 -42.40655853
-63.59440731 -42.55559336
-63.61735165 -42.69584319
-63.64448178 -42.74571095
-63.69248918 -42.8052422
-64.03474219 -42.88125823
-64.13065365 -42.86141448
-64.21995053 -42.75558115
-64.24795915 -42.64613047
-64.32428524 -42.57223317
-64.48784115 -42.51342539
-64.65046689 -42.53140879
-64.81195574 -42.63321136
-64.97070574 -42.66628428
-65.02690386 -42.75888844
-64.62922787 -42.9089568
-64.44153907 -42.95071136
-64.38035417 -42.94926442
-64.31914344 -42.96890146
-64.37570329 -43.02455698
-64.43223731 -43.05912851
-64.71521745 -43.13550628
-64.83991269 -43.18883636
-64.98553687 -43.29353281
-65.18973629 -43.52204599
-65.25234229 -43.57186207
