# IPBES Oceania
# Australia
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
136.27533085 -13.79114756
136.23740034 -13.82453053

136.33868615 -11.60234059
136.18024621 -11.67675465
136.26737267 -11.57650237
136.44927372 -11.48710215
136.4793494 -11.46591481
136.47056441 -11.50932301
136.37940718 -11.58322031
136.33868615 -11.60234059

130.45925174 -11.67933847
130.54183068 -11.70310963
130.57986454 -11.73711273
130.60270552 -11.77328623
130.60621952 -11.81659108
130.50255659 -11.83560801
130.31745161 -11.77173594
130.13120975 -11.82454925
130.07653609 -11.82547942
130.04325646 -11.78734222
130.07209191 -11.68078541
130.13906457 -11.69711517
130.19756229 -11.65825449
130.18712365 -11.54125905
130.1528105 -11.47749033
130.25120243 -11.36059824
130.29492069 -11.33682708
130.33925907 -11.33703379
130.37677616 -11.42007781
130.3856645 -11.50983978
130.43279341 -11.59216033
130.45925174 -11.67933847

130.61882857 -11.37610117
130.75225711 -11.38442108
130.91276411 -11.30923187
130.98738488 -11.33987599
131.02304162 -11.33434661
131.14065718 -11.26313649
131.21724165 -11.24256927
131.26829797 -11.18985931
131.32049116 -11.24691009
131.43686649 -11.31315927
131.47335005 -11.38250905
131.52223596 -11.41527191
131.53856571 -11.43687265
131.46787235 -11.50952972
131.45857059 -11.58787119
131.38281294 -11.58249684
131.29206913 -11.71096445
130.95100467 -11.92645517
130.64487349 -11.74238372
130.5119617 -11.6178952
130.42276818 -11.445761
130.40478478 -11.3049944
130.36861128 -11.21497405
130.38463098 -11.19223642
130.40292443 -11.1804542
130.42669559 -11.18314137
130.51919641 -11.27946624
130.55971073 -11.30592457
130.61882857 -11.37610117

136.59851525 -11.3788917
136.52658166 -11.43883636
136.52162072 -11.39387786
136.55975793 -11.35791107
136.6490548 -11.21166676
136.68801883 -11.17766367
136.71054976 -11.15844004
136.72729292 -11.10474822
136.7317371 -11.02459808
136.78031294 -11.01245412
136.74145226 -11.19466522
136.59851525 -11.3788917

132.59338504 -11.30282399
132.57364465 -11.31832692
132.49375288 -11.16371103
132.51628381 -11.11606536
132.48383101 -11.03731048
132.5377812 -11.02842213
132.57881229 -10.96883921
132.59328169 -10.99767466
132.59689904 -11.10640187
132.62914514 -11.16918873
132.59338504 -11.30282399

143.17888879 -11.95451548
143.15294722 -12.07590342
143.10468143 -12.16964446
143.09899702 -12.22597177
143.11026249 -12.3035381
143.19067101 -12.361209
143.25412967 -12.39764088
143.28968306 -12.49882334
143.40161421 -12.6399
143.39758345 -12.73617319
143.45773482 -12.85575246
143.51199507 -13.09454925
143.5294617 -13.3038388
143.58661584 -13.44362355
143.54847863 -13.74096974
143.58919966 -13.86277109
143.64335656 -13.96369516
143.70722863 -14.16456146
143.75632124 -14.34883961
143.82236372 -14.40103281
143.96178674 -14.4628895
144.10586063 -14.39457326
144.20983361 -14.30196909
144.32166141 -14.27938649
144.47307336 -14.23184417
144.58645145 -14.35467905
144.64804976 -14.4925001
144.91573368 -14.67434946
145.06445845 -14.79098317
145.18000695 -14.8569223
145.28770064 -14.94317026
145.27695194 -15.02941823
145.25163049 -15.09742441
145.27612512 -15.20392954
145.29307499 -15.32728118
145.27157759 -15.47662607
145.34950565 -15.70152191
145.37544722 -15.88104583
145.45802616 -16.05643564
145.45182499 -16.23688974
145.43642541 -16.30499928
145.42609012 -16.40613006
145.49047896 -16.5321172
145.54990685 -16.6250831
145.63827355 -16.72611053
145.75475223 -16.87953786
