# IPBES South_Asia
# Afghanistan
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
64.2660828 29.50693309
64.17213504 29.46037263
64.11792647 29.41427725
64.09875451 29.39195303
63.97101037 29.43009024
63.56762414 29.49799307
62.47652795 29.40833446
62.37348514 29.42538768
62.00100142 29.53042003
61.52144413 29.66565725
61.22435632 29.74942475
60.84339766 29.85869457
61.10415694 30.12839387
61.33168827 30.36372834
61.55947798 30.59937287
61.78421878 30.83191682
61.81083215 30.9133072
61.81429447 31.07254812
61.7550216 31.28529999
61.66019535 31.38242585
61.34646773 31.42164826
61.11071984 31.45112967
60.854043 31.48324657
60.82076338 31.49518382
60.79161787 31.66060008
60.80433028 31.73449738
60.78753543 31.87717601
60.78991255 31.98709178
60.82727461 32.1679593
60.82934167 32.24940135
60.7104342 32.59997427
60.64449507 32.79438101
60.57654056 32.99485973
60.56196781 33.05878347
60.56052087 33.13782258
60.71803063 33.32354768
60.76686486 33.36382945
60.85926232 33.45622692
60.91703657 33.50524201
60.90690799 33.53898672
60.80639733 33.55867544
60.65457197 33.5604066
60.57385339 33.58831188
60.51080814 33.6389031
60.4859001 33.71189606
60.52703454 33.84196564
60.48579675 34.09479259
60.57018436 34.21964285
60.6426864 34.30715689
60.88949304 34.31943004
60.80391686 34.41800283
60.76262739 34.47526032
60.73616906 34.49179678
60.72624719 34.51825511
60.73947635 34.54471345
60.80231489 34.55463532
60.84530969 34.58770824
60.91476281 34.63401032
60.95114302 34.65385407
60.9577576 34.71007803
60.99083052 34.74976553
61.04043989 34.7993749
61.08012739 34.85559886
61.07020552 34.9217447
61.10658573 35.0011197
61.12312219 35.05072907
61.14958052 35.09372386
61.12642948 35.1565624
61.10658573 35.20947907
61.09997114 35.27231761
61.13965864 35.28885407
61.18926802 35.31200511
61.19918989 35.36161449
61.22564823 35.42445303
61.24549198 35.4740624
61.27856489 35.5137499
61.28187219 35.5534374
61.26202844 35.61958324
61.34471073 35.62950511
61.37778364 35.5931249
61.42181196 35.54578929
61.54273482 35.45786184
61.62097293 35.43233369
61.71977827 35.41941458
61.84101118 35.43148102
61.93805952 35.44788829
61.98389652 35.4437025
62.08967818 35.3796754
62.2130815 35.28996511
62.25282067 35.25022594
62.27116581 35.18911856
62.30785607 35.17077342
62.38661096 35.23123485
62.46283369 35.25138866
62.53311364 35.23989065
62.61057661 35.23314688
62.68814294 35.25534191
62.72271447 35.27133576
62.85800337 35.34967723
62.98021813 35.40915681
63.0565959 35.44582123
63.08413944 35.56808767
63.11927941 35.6375408
63.16971561 35.6781068
63.15080204 35.72825878
63.12997643 35.76673188
63.10858239 35.81869253
63.12997643 35.84621023
63.17886234 35.85843171
63.30164554 35.85840587
63.51698124 35.91313121
63.69660851 35.96783072
63.86248986 36.01234996
63.93809248 36.01973969
64.00966434 36.01211742
64.04237552 36.0250882
64.05131555 36.06764374
64.09224328 36.11267976
64.18433068 36.14890493
64.35806685 36.22605785
64.51102909 36.34067617
64.56585778 36.42759593
64.60259973 36.55453909
64.67432661 36.7502119
64.7530815 36.96479829
64.78238203 37.05928864
64.81633345 37.13210074
64.95162235 37.19354401
65.08970178 37.23793407
65.30359053 37.24677074
65.5549447 37.25116324
65.60801639 37.36841706
65.64124434 37.46784252
65.68294722 37.51915721
65.74387373 37.56086009
65.76500939 37.56912832
65.9007117 37.50809846
66.10845096 37.41477082
66.35029667 37.36815868
66.47183963 37.34472342
66.52227583 37.3484958
66.82768355 37.37131094
67.06885746 37.33482738
67.19546472 37.23519522
67.31974654 37.20958955
67.44170292 37.25798452
67.51725386 37.26666616
67.54650272 37.23566031
67.60737756 37.22250865
67.69998172 37.22726289
67.75289839 37.19979686
67.75899621 37.17222748
67.7660242 37.14011058
67.8344438 37.0641979
67.95795047 36.97200715
68.06781457 36.94981212
68.21209517 37.02151317
68.26098107 37.01308991
68.28475223 37.03634431
68.29953169 37.08843415
68.38686486 37.13747508
68.54654504 37.18346711
68.63697879 37.22447236
68.66917321 37.25842377
68.72322676 37.26800975
68.78208622 37.25798452
68.82373742 37.27072276
68.8384652 37.30283967
68.8553634 37.31684398
68.88528405 37.32805777
68.91179406 37.33394888
68.96047326 37.32506053
69.04997684 37.26651114
69.18020145 37.15827485
69.26484745 37.10840709
69.30391483 37.1169337
69.35383426 37.1500583
69.41450239 37.20778087
69.42969527 37.29085074
69.39920617 37.39931957
69.42008345 37.48670441
69.4921204 37.55305695
69.62575565 37.59403636
69.82088586 37.60959097
69.94062015 37.60028921
69.98495853 37.56615693
