# IPBES West_Africa
# Benin
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
1.28047 11.27398916
1.31736698 11.29527985
1.36480594 11.37889232
1.39152266 11.40798615
1.39973921 11.4287084
1.42671431 11.44710521
1.50133508 11.45558015
1.56138309 11.44914643
1.60003706 11.4006481
1.85764408 11.44333283
1.9803756 11.41842479
2.23085127 11.62916128
2.28723026 11.69127635
2.36324629 11.84010448
2.38918786 11.89705191
2.41264896 11.99931957
2.36329797 12.18842947
2.36598514 12.22194164
2.46933801 12.26281769
2.59842573 12.29434032
2.64844852 12.29676911
2.68136641 12.31281464
2.72854699 12.35363902
2.80523482 12.3838439
2.85019331 12.37366364
2.87815026 12.36772085
3.14955488 12.11807201
3.26737715 11.99187816
3.29910648 11.92712759
3.35992964 11.88046377
3.44984663 11.85193838
3.5317021 11.78744619
3.59541914 11.69628897


# Burkina Faso
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
0.21748579 14.91149323
0.20381738 14.86506196
0.20278385 14.78279308
0.18505883 14.65295604
0.16381982 14.49720327
0.25061039 14.39643423
0.35458337 14.28801708
0.38248864 14.24582327
0.35484175 14.13903392
0.37406538 14.07635041
0.42920414 13.97211905
0.52232507 13.83972403
0.61818485 13.7034016
0.68453739 13.68539236
0.74778934 13.67451447
0.7860299 13.65004568
0.84225386 13.62640371
0.89790938 13.61092662
0.94658858 13.58113516
0.97774946 13.55193797
1.01785038 13.46786042
1.12595747 13.41235993
1.20119836 13.35753124
1.17091597 13.32957429
1.07686486 13.34078807
0.98844649 13.36484345
0.97671594 13.32451
0.97309859 13.1703592
0.98725793 13.04189159
1.00787682 13.02481253
1.09681196 13.00111888
1.30868534 12.83425568
1.50050825 12.6764617
1.56494876 12.63540477
1.67104048 12.61979849
1.78979292 12.61326142
1.84095259 12.62786001
1.95619103 12.70744172
2.01737593 12.71622671
2.07380659 12.71395295
2.10460575 12.70129222
2.1597445 12.6364383
2.21157596 12.53840811
2.22625207 12.4660611
2.22139448 12.42722626
2.2038245 12.412576
2.10935998 12.39386913
2.0685356 12.37914134
2.05840702 12.35795401
2.07297977 12.30935232
2.09137658 12.27795889
2.19441939 12.13646882
2.34335086 11.94598949
2.38918786 11.89705191
2.36324629 11.84010448
2.28723026 11.69127635
2.23085127 11.62916128
1.9803756 11.41842479
1.85764408 11.44333283
1.60003706 11.4006481
1.56138309 11.44914643
1.50133508 11.45558015
1.42671431 11.44710521
1.39973921 11.4287084
1.39152266 11.40798615
1.36480594 11.37889232
1.31736698 11.29527985
1.28047 11.27398916
