# IPBES Caribbean
# Antigua and Barb.
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html

-75.30842099 24.20002188
-75.30175473 24.14917227
-75.36877906 24.15945588
-75.46763607 24.13961213
-75.5032153 24.13904369
-75.48104611 24.1738736
-75.41241981 24.22095083
-75.40893165 24.2657543
-75.49391354 24.33040152
-75.59277056 24.49127025
-75.6390468 24.52940746
-75.66100928 24.58981721
-75.74400163 24.65467113
-75.72669003 24.68934601
-75.70963681 24.69751089
-75.65354204 24.68087108
-75.52644385 24.44951569
-75.51814979 24.4273465
-75.30842099 24.20002188

-77.34754717 25.01387401
-77.46048601 24.99312592
-77.5412046 25.01356395
-77.56192685 25.03002289
-77.52732947 25.05766979
-77.45126177 25.08071747
-77.32909868 25.08301708
-77.27561357 25.0557836
-77.26915402 25.04384634
-77.34754717 25.01387401

-77.74385373 24.70743277
-77.74602414 24.58635489
-77.73512041 24.4957661
-77.74522315 24.46346833
-77.8534336 24.40290355
-77.88118384 24.36910716
-77.98319312 24.33494904
-78.04494646 24.2874584
-78.07584897 24.36466299
-78.13574195 24.41236034
-78.14581885 24.49344066
-78.19157834 24.46605215
-78.25762082 24.48274364
-78.3665289 24.54418692
-78.43531023 24.62759268
-78.33890784 24.64206208
-78.31898658 24.59023062
-78.24271217 24.65379263
-78.26007545 24.6873048
-78.27382138 24.69161978
-78.29883277 24.75388988
-78.18405941 24.91708405
-78.1593064 25.02234894
-78.21137041 25.1912792
-78.16279456 25.20233796
-78.03331926 25.14311677
-77.97531247 25.08482575
-77.97340044 25.00477896
-77.91895932 24.94281892
-77.84015276 24.7944042
-77.74385373 24.70743277

-76.64885596 25.48738516
-76.48421485 25.37462718
-76.34380998 25.3320458
-76.19198463 25.19081411
-76.12661394 25.14053295
-76.11493507 25.09474763
-76.1405149 24.88566478
-76.17467302 24.75978099
-76.16955705 24.64940013
-76.20516212 24.68205964
-76.24118059 24.75435497
-76.30027259 24.79590282
-76.31998715 24.8176586
-76.21379208 24.8224645
-76.20436113 24.93620433
-76.15255551 25.02596629
-76.16041033 25.11934561
-76.28433041 25.22213003
-76.36928647 25.31261546
-76.49992449 25.34155427
-76.62071815 25.43162629
-76.69278093 25.44273672
-76.78068254 25.42687206
-76.74892737 25.48056387
-76.72693905 25.55159313
-76.71086768 25.56489981
-76.64885596 25.48738516

-78.49287777 26.72906647
-78.37174822 26.69795726
-78.30684262 26.70219473
-78.26793026 26.7226586
-78.08866472 26.71428701
-77.94397071 26.74425934
-77.92247331 26.69111013
-77.92614234 26.66338573
-78.2338755 26.63734081
-78.51623552 26.55936107
-78.67095476 26.50654776
-78.7436635 26.50065664
-78.79921566 26.52845856
-78.98566423 26.68948233
-78.93579647 26.67341096
-78.79802711 26.5824346
-78.71250261 26.59904857
-78.63323096 26.65919994
-78.62113868 26.70462352
-78.63297258 26.72619843
-78.59713498 26.79795116
-78.49287777 26.72906647

-77.22564246 25.90418142
-77.24644223 25.89547394
-77.33325863 25.99562287
-77.40317685 26.0247167
-77.29395871 26.09551341
-77.24675229 26.15633657
-77.24775998 26.28904165
-77.22109494 26.36175039
-77.23011247 26.42471813
-77.2060571 26.48897777
-77.23861325 26.56111807
-77.3299255 26.61837556
-77.51061215 26.8459844
-77.79596941 26.90127818
-77.943764 26.90355195
-77.86252865 26.94008719
-77.78754615 26.93566885
-77.67212684 26.91391307
-77.53389238 26.90339692
-77.44940141 26.83639842
-77.36876034 26.74761831
-77.29589657 26.71167735
-77.26592424 26.68881053
-77.26928321 26.66302399
-77.25719092 26.63881358
-77.16210629 26.5972399
-77.06634986 26.53016389
-77.03826372 26.33343171
-77.16727393 26.24031078
-77.19104509 25.95547028
-77.22564246 25.90418142


# Barbados
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-59.49331397 13.08196666
-59.5218652 13.06220043
-59.61134294 13.10209463
-59.64278805 13.15030874
-59.64668962 13.30311595
-59.59160255 13.31768871
-59.48788795 13.19681753
-59.42763323 13.15278921
-59.49331397 13.08196666


# Cuba
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-82.5617767 21.57165518
-82.65482012 21.51863516
-82.8531801 21.44391104
-82.95963355 21.44130138
-83.0673014 21.46938752
-83.14148292 21.53186433
-83.18378008 21.59346263
-83.1802144 21.62307323
-83.11295753 21.5736964
-83.05487322 21.54943431
-83.00725338 21.5655832
-82.97358619 21.59229991
-83.08254595 21.79138337
-83.0777142 21.83349966
-82.99120785 21.94274364
-82.75577003 21.90951569
-82.71455807 21.89029206
-82.68184689 21.82114899
-82.62942115 21.76688874
-82.56782284 21.62183299
-82.5617767 21.57165518

-77.66900041 21.95194204
-77.71005734 21.9213496
-77.75504167 21.96558462
-77.78364458 21.97039053
-77.82320289 21.98793468
-77.89999407 22.03715648
-77.91854591 22.0880836
-77.85472551 22.0919335
-77.7743945 22.0829418
-77.63370541 22.054003
-77.64597856 21.99646129
-77.66900041 21.95194204

-77.87940101 22.12751272
-77.91234473 22.12469636
-78.01192522 22.16639924
-78.04163917 22.20128083
-78.0067059 22.24799632
-77.99921282 22.29874258
-77.98564775 22.30210155
-77.96957638 22.24065827
-77.8936637 22.21456167
-77.88909034 22.20104829
-77.8424782 22.14895844
-77.87940101 22.12751272

-78.02711809 22.28517752
-78.04753028 22.26848603
-78.1016355 22.30574474
-78.18002865 22.32199698
-78.22612403 22.37997793
-78.26999732 22.40225047
-78.27351132 22.423567
-78.20095761 22.43764883
-78.15057309 22.43149934
-78.09411658 22.38721263
-78.06168962 22.3059256
-78.02711809 22.28517752

-78.63013038 22.55226716
-78.49287777 22.53102814
-78.44533546 22.54376638
-78.39955014 22.54748709
-78.35123267 22.53862458
-78.28389828 22.4554772
-78.34301612 22.44511608
-78.38996416 22.44511608
-78.42456153 22.46012808
-78.54765479 22.46400381
-78.6289935 22.48818838
-78.67364193 22.50885895
-78.69550106 22.5339737
-78.63013038 22.55226716

-79.34956967 22.66391409
-79.34791602 22.6376883
-79.52273739 22.71112051
-79.59787493 22.78765331
-79.62818315 22.80522329
-79.57916806 22.80672191
-79.3821775 22.68135489
-79.34956967 22.66391409

-81.83745399 23.16303091
-81.57542864 23.11652212
-81.36363278 23.12969961
-81.26237281 23.15685558
-81.27162289 23.12861441
-81.17860531 23.05965221
-81.1446539 23.05494965
-81.00765967 23.08985708
-80.65016212 23.10306041
-80.61344601 23.08375926
-80.55050412 23.0165799
-80.4592177 22.97498037
-80.36488237 22.94340607
-80.26615455 22.93495698
-80.16763343 22.94934886
-80.07523597 22.94232087
-79.95989417 22.87689851
-79.9235398 22.86914704
-79.82026445 22.88702709
-79.85072771 22.82718578
-79.67665565 22.74308238
-79.54922156 22.57779532
-79.45651404 22.50986664
-79.35827715 22.44894013
-79.27567237 22.40762482
-79.18301653 22.38788443
-78.90189674 22.39599763
-78.83544084 22.39093334
-78.77598711 22.36731721
-78.71924639 22.35806712
-78.68648353 22.36682628
-78.14313168 22.10942597
-77.97050656 21.9719925
-77.86503496 21.90057567
-77.63683183 21.797352
-77.54510617 21.77458853
-77.4971246 21.78833446
-77.50652971 21.81104625
-77.5733215 21.86832958
-77.58316586 21.88925853
-77.49725379 21.87161103
-77.34212114 21.75526154
-77.29953976 21.71226675
-77.22207679 21.67242422
-77.14412289 21.64361461
-77.18125241 21.59764842
-77.24455604 21.59374685
-77.36615068 21.61263459
-77.26956743 21.53791047
-77.25287594 21.48346935
-77.20789161 21.47884431
-77.14097063 21.5386081
-77.09864763 21.58901846
-76.92806373 21.45900056
-76.83633806 21.39952098
-76.85979916 21.36479442
-76.86744727 21.33042959
-76.76499875 21.3624173
-76.72608639 21.35887747
-76.68851763 21.34042898
-76.64740902 21.28451508
-76.55170427 21.27213858
-76.4551727 21.27363719
-76.25921566 21.22738679
-76.0736456 21.13346487
-75.89903093 21.11426708
-75.72294349 21.11101146
-75.63372413 21.06135041
-75.59579363 20.99466197
-75.63853004 20.94745555
-75.66294715 20.89815624
-75.59729224 20.83764313
-75.74025509 20.81195995
-75.76038306 20.7755539
-75.75299333 20.7362023
-75.7245713 20.71457571
-75.64279334 20.73348928
-75.52463518 20.71666861
-75.33813494 20.70163076
-75.21325884 20.71385224
-74.95973426 20.67266612
-74.88255551 20.65062613
-74.73207374 20.57318899
-74.66246558 20.52213268
-74.51314653 20.38454418
-74.3843947 20.33049063
-74.27279945 20.31736481
-74.23386125 20.32643403
-74.19848874 20.3114737
-74.16745704 20.29219839
-74.13681291 20.23194367
-74.15373695 20.16853669
-74.21742815 20.11714448
-74.2528265 20.07967906
-74.41214494 20.07533824
-74.63476702 20.05815583
-74.85005103 20.00229361
-74.95510922 19.95790355
-75.0031683 19.92855134
-75.1164172 19.90139537
-75.12411699 19.9246756
-75.12194658 19.95392447
-75.15160885 20.00833975
-75.17729204 19.95935049
-75.21946001 19.92364208
-75.29048926 19.8931013
-75.55197201 19.8911376
-75.6572369 19.93222036
-75.76511146 19.96038402
-76.15844662 19.98976207
-76.25285946 19.98717825
-76.51560828 19.95668915
-76.77972653 19.94020437
-76.89021074 19.92131664
-76.99948056 19.89284292
-77.21197405 19.89374726
-77.46317318 19.86139781
-77.71506995 19.85548086
-77.55376197 20.08213369
-77.21336931 20.30036327
-77.14939389 20.34728547
-77.10381527 20.40754019
-77.0930149 20.4529121
-77.10789771 20.49166942
-77.18897803 20.55995983
-77.20546282 20.61083527
-77.22959571 20.64375316
-77.34754717 20.6723819
-77.46702308 20.68951264
-77.592726 20.69008108
-77.85689592 20.7136197
-77.99732663 20.7153767
-78.11636329 20.76188548
-78.31384477 20.92748261
-78.40637143 20.97386221
-78.45386207 21.01099173
-78.49078488 21.0537023
-78.53726783 21.29681407
-78.57656776 21.41380952
-78.63648658 21.51553457
-78.72769548 21.59271332
