# IPBES East_Africa_and_adjacent_islands
# Comoros
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
42.9124508 10.14080252
43.01471846 10.01261913
43.06892704 9.92624197
43.18168501 9.87996573
43.21842695 9.77017914
43.30312463 9.60907787
43.39433353 9.48024852
43.4825452 9.37947948
43.58104048 9.34072215
43.62052127 9.33741486
43.82681359 9.15078543
43.98380659 9.00883027
44.02287398 8.98604096
44.30621585 8.89304922
44.63203576 8.78610484
44.89357018 8.70021861
45.22693485 8.59079377
45.55549361 8.48299673
45.86333011 8.37987641
46.29601688 8.23497569
46.64467777 8.11818696
46.91954471 8.02612539
46.97824914 7.99708324
47.30567101 7.99708324
47.63774377 7.99708324
47.9781881 7.99708324
47.73158817 7.75934581
47.45284549 7.49049917
47.15973677 7.20785493
46.97122114 7.0260314
46.6718079 6.7372635
46.4229342 6.49725231
46.16677412 6.23465851
45.93500532 5.99720531
45.63357669 5.66828482
45.43849816 5.45542959
45.13278039 5.12170319
44.94054406 4.91200023
44.91160526 4.89990795
44.63663496 4.91577261
44.36951948 4.93119802
44.02814497 4.95096426
43.98887088 4.95052501
43.88944543 4.93075878
43.82919071 4.91143179
43.58352095 4.85497529
43.53825239 4.84032502
43.33402713 4.75040803
43.12571944 4.64447134
43.01601037 4.56333934
42.93095096 4.44531037
42.89477746 4.36107779
42.85664025 4.32420665
42.7916313 4.29201223
42.35517215 4.21224966
42.22840987 4.20165599
42.02413293 4.13793895
41.91530236 4.03127879
41.88403812 3.97774201
41.73774214 3.97903392
41.4819438 3.96327261
41.37249312 3.94616771
41.31895633 3.94309296
41.22092614 3.94355805
41.14046594 3.96296255
41.08723921 3.99195303
41.020835 4.05745291
40.87267866 4.19033885
40.76524336 4.27302115
40.52872033 4.17765229
40.31602014 4.08272268
40.01412642 3.94797639
39.84219893 3.85144481
39.79036747 3.75424144
39.65750736 3.5778181
39.53885827 3.46919424
39.49446821 3.45609427
39.22549238 3.47878022
39.12828902 3.50089773
38.96783369 3.52058645
38.75275638 3.55900788
38.60806237 3.60009064
38.45153446 3.60484488
38.22529504 3.61900422
38.08618208 3.64882152
37.94495039 3.74674836
37.76289432 3.8646223
37.5754639 3.98593273
37.3825041 4.11083466
37.15455936 4.25454682
36.90558231 4.41146231
36.84827315 4.42732697
36.82362349 4.4301175
36.55299401 4.43724885
36.27182254 4.44471609
36.08196333 4.44972871
36.02196699 4.46812552
35.97871382 4.50383393
35.91985436 4.61984752
35.84559533 4.702659
35.76306807 4.80802725
35.75614343 4.95047333
35.77924279 5.10558015
35.80032678 5.15694652
35.7884412 5.20810619
35.79143843 5.278567
35.74503299 5.3440152
35.46866743 5.41910106
35.42396732 5.41328746
35.37787194 5.38514964
35.32531701 5.36489248
35.28759321 5.38406444
35.26464888 5.41204723
35.26382206 5.4579359
35.26831791 5.49230073
35.25245324 5.51103343
35.16449995 5.58121003
35.08192101 5.6731424
35.03189823 5.7748933
34.98358076 5.8583249
34.95903446 6.04505768
34.89784956 6.1598052
34.83805993 6.30013255
34.74922814 6.56786815
34.71067752 6.66031729
34.63874393 6.72214814
34.56277958 6.77984488
34.48433475 6.89839061
34.27928267 7.00282868
34.20042443 7.0845808
34.06420536 7.22573497
34.03020226 7.29697093
34.02038374 7.36797435
33.97795739 7.43458527
33.90245812 7.50954194
33.66609012 7.67097911
33.60097782 7.69040945
33.51633182 7.70777273
33.39225671 7.72371491
33.22601362 7.76066356
33.08075117 7.82370881
33.01465702 7.86856395
32.9988957 7.89951813
33.01258996 7.95150462
33.06519657 8.04049144
33.16524214 8.2510729
33.23428185 8.39638703
33.2811007 8.43726309
33.40936161 8.44772757
33.5453223 8.44341258
33.64479943 8.43258637
33.78504927 8.43111359
33.95330773 8.4434901
34.01976362 8.49209178
34.07278364 8.54526683
34.0945911 8.58224132
34.10172245 8.6763441
34.10161909 8.75186921
34.09102542 9.04125723
34.08456587 9.21850739
