# IPBES Western_Asia
# Bahrain
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
41.96253462 16.77866608
41.94672163 16.74890046
41.98775272 16.71562084

36.9016549 25.38305044
36.87519657 25.38305044
36.80501997 25.45072073
36.76388553 25.50058849
36.72202762 25.53404898
36.53030806 25.6015384
36.50426314 25.64510163
36.53361535 25.68871654
36.55407922 25.64536001
36.58880578 25.61983185
36.74755578 25.55875031
36.92439253 25.42552847
36.95477827 25.41462474
36.9016549 25.38305044

36.59552372 25.71279776
36.58611861 25.69920685
36.54395064 25.73429515
36.54653446 25.81160309
36.58270796 25.85552806
36.57991743 25.79542837
36.59562707 25.73488943
36.59552372 25.71279776

44.71647505 29.19361888
45.0503048 29.16710887
45.49890791 29.13155549
45.94968143 29.09584707
46.35647831 29.06365266
46.53145471 29.09626048
46.72482792 29.07460806
46.9822799 29.04566926
47.13875614 29.02618724
47.43320845 28.98954865
47.52126509 28.83782665
47.55320112 28.73155406
47.5830701 28.62796865
47.67133345 28.53316824
47.87194136 28.53546784
48.04960493 28.53750906
48.26871301 28.54050629
48.44244917 28.54290925
48.49856978 28.44885814
48.52306441 28.35501374
48.62631392 28.13257254
48.7736951 27.95906892
48.80904178 27.89592032
48.83281294 27.80068065
48.80718143 27.76528229
48.7971562 27.72430288
48.90650353 27.62906322
49.08685428 27.54857718
49.15754764 27.5282425
49.23743941 27.49274079
49.17511763 27.43765371
49.28157108 27.31047801
49.40528446 27.18097687
49.53767948 27.15175385
49.71647993 26.95587434
49.98612756 26.82890534
50.14983849 26.66266226
50.13464562 26.65951
50.08658654 26.67640819
50.02633182 26.6991975
50.00814172 26.67852692
50.01134566 26.60881542
50.02736535 26.52688243
50.11077111 26.45595653
50.18497847 26.40495189
50.21391727 26.30847199
50.15541955 26.10052603
50.13526574 26.10068106
50.09599165 26.11871613
50.05392704 26.12287608
50.03160282 26.11099051
50.08100549 25.96138723
50.1303048 25.84663972
50.18962935 25.75579255
50.23892866 25.62285493
50.28119999 25.56614004
50.45514286 25.424805
50.50847293 25.30667268
50.5578756 25.0866861
50.66691288 24.96379955
50.7256173 24.86938671
50.80437219 24.7892624
50.85563521 24.67963085
50.92829227 24.59513988
50.96606774 24.57395254
51.02275679 24.56524506
51.0933468 24.56465078
51.17799279 24.58674246
51.26801314 24.60723216
51.33849979 24.56434073
51.41126021 24.57080028
51.41839155 24.53098359
51.36991906 24.4769042
51.30987105 24.34037507
51.39524051 24.31885183
51.47678592 24.30818065
51.53476688 24.28634736
51.56835656 24.28619233
51.56835656 24.25792532
51.57218062 24.12834667
51.59254113 24.07884064
51.62933475 24.03501903
51.68431848 23.96951915
51.73935388 23.90401927
51.79438928 23.83849356
51.849373 23.77299368
51.9044084 23.7074938
51.9594438 23.64196809
52.01442752 23.57646821
52.06946293 23.51096833
52.12449833 23.44546845
52.17948205 23.37996857
52.23451745 23.3144687
52.28955285 23.24896882
52.34453657 23.18346894
52.39957197 23.11796906
52.45460737 23.05244335
52.5095911 22.98694347
52.55506636 22.9328124
52.63914391 22.92252879
52.66591231 22.91927318
52.74161828 22.9100231
52.85928552 22.89563121
53.01188602 22.87700186
53.19244348 22.85493602
53.39403324 22.8303122
53.60957564 22.80398306
53.83209435 22.77682709
54.05461307 22.74967113
54.27010379 22.72334199
54.47164188 22.69871817
54.65225101 22.67665233
54.80485152 22.65802298
54.92251875 22.64363109
54.99822473 22.63438101
55.02504479 22.63112539
55.10431644 22.6214619
55.11940596 22.62394237
55.18586185 22.70409252
55.25924238 22.59089529
55.3201689 22.4969217
55.40378137 22.36783397
55.49271651 22.23065888
55.57772424 22.09952993
55.64102787 22.00186148
55.60743819 21.90036896
55.57079959 21.78967805
55.53421268 21.67898713
55.49757409 21.56829621
55.4609355 21.45760529
55.42434859 21.34691437
55.38771 21.23622346
55.3510714 21.12553254
55.31448449 21.01481578
55.27789758 20.90409903
55.24125899 20.79340811
55.2046204 20.68271719
55.16803348 20.57202627
55.13139489 20.46133535
55.0947563 20.35064444
55.05816939 20.23995352
55.0215308 20.1292626
54.97739912 19.9959374
54.87104903 19.96048737
54.69901818 19.90315237
54.52703902 19.84581737
54.35500817 19.78848237
54.18297733 19.73114737
54.01094649 19.67381236
53.83891564 19.61647736
53.6668848 19.55914236
53.49485396 19.50180736
53.32282311 19.44447236
53.15079227 19.38713736
52.97876143 19.32980235
52.80673058 19.27246735
52.63469974 19.21513235
52.4626689 19.15779735
52.29063806 19.10048819
52.11860721 19.04315318
51.9776339 18.99615347
51.74291955 18.96455333
51.51492313 18.93388337
51.258453 18.89936351
50.94999637 18.8578415
50.70820235 18.82531118
50.35530399 18.7777947
50.03894087 18.73523916
49.74211144 18.69529328
49.44507531 18.65532156
49.19237756 18.62131847
49.04199914 18.581786
48.86490401 18.49520213
48.59298262 18.36241954
48.31584191 18.22705313
48.17218143 18.15692821
48.02169966 17.9769392
47.9455286 17.88583365
47.80775923 17.72111502
47.70373457 17.59680736
47.57955611 17.44834097
47.5253992 17.31612682
47.44178674 17.11187572
47.36959476 17.06038015
47.25125573 16.99392426
47.14361372 16.94666616
46.97566532 16.95348745
46.87996056 17.07900951
46.77851973 17.212128
46.72767012 17.26558727
46.68203983 17.26855866
46.51341963 17.25168631
46.31033125 17.23129995
46.07081099 17.25318492
45.79444543 17.27840302
45.5353398 17.30207083
45.40656213 17.31977001
45.23665002 17.40619884
45.19277673 17.42340709
45.14807661 17.42746369
44.94648685 17.42958242
44.74675744 17.43167532
44.54645959 17.40436433
44.35474002 17.41436372
44.15594079 17.39855073
44.0859709 17.36552949
44.00824955 17.36746735
43.9596737 17.33832184
43.91693729 17.32473094
43.86644942 17.34958731
43.80428267 17.34413544
43.71297041 17.36552949
43.65343916 17.4218568
43.59731856 17.4714145
43.53923425 17.49872549
43.47427697 17.51593374
43.41800134 17.5162438
43.34606774 17.48601309
43.30219445 17.45679007
43.19093509 17.35937999
43.18638757 17.32473094
43.23692712 17.26643993
43.22137251 17.23923229
43.15595015 17.20504833
43.13589969 17.11296092
43.12618452 17.06244721
43.11646935 16.94198945
43.14561486 16.84677562
43.18447554 16.81181651
43.18638757 16.77101797
43.1650452 16.68942088
43.10479048 16.66415111
43.06071048 16.58663646
43.03358036 16.55038544
42.9863481 16.50907014
42.79933109 16.37179169
42.7898743 16.45155427
42.73065311 16.56984162
42.72641564 16.65329906
42.69882043 16.7369632
42.64745405 16.80135204
42.55288618 16.86847972
42.54410119 16.95968863
42.47495812 17.049864
42.38328413 17.12246939
42.33243452 17.25662141
42.29398726 17.43495677
42.05224491 17.66936107
41.75004113 17.88573029
41.65795373 18.00768667
41.50757531 18.25609528
41.43171431 18.45241405
41.22945275 18.67839509
