# IPBES Europe_and_Central_Asia
# Albania
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
16.74805301 46.41641775
16.87145633 46.33929068
16.93997928 46.25366283
17.0326868 46.18731029
17.14957889 46.14033641
17.24218306 46.07661937
17.31060265 45.99615917
17.40630741 45.95109732
17.52919396 45.94133047
17.60701867 45.91378693
17.63967818 45.86836335
17.70639245 45.82725475
17.80716149 45.79040945
17.96384444 45.77028148
18.26392948 45.76547557
18.29059452 45.76444204
18.35829064 45.75302155
18.43730391 45.76733592
18.5335771 45.7961197
18.56468631 45.81330211
18.66597212 45.90748241
18.72178267 45.89936921
18.83299035 45.91084138
18.90032474 45.93171865
18.90538903 45.93171865
18.90109989 45.90763744
18.89355513 45.86552115
18.83908817 45.83575552
18.8944853 45.76710338
18.94729862 45.65581818
18.91784305 45.60083446
18.9537065 45.5579947
19.05509566 45.52724722
19.06429406 45.5149999
19.0332882 45.50218415
19.00765669 45.46580394
19.00465946 45.39950308
19.09307783 45.33692292
19.27280847 45.27796011
19.33027266 45.26808991
19.35223514 45.2454298
19.38231083 45.2306245
19.39998417 45.21248607
19.40101769 45.18907665
19.38809859 45.17300528
19.30303918 45.16726919
19.20599084 45.16778596
19.13695112 45.19623383
19.13074995 45.17548574
19.12971642 45.15171459
19.06284712 45.13719351
19.10005415 44.97379263
19.08527469 44.92676708
19.06052168 44.91100576
19.03757735 44.91751699
19.00951704 44.91937735
18.99546105 44.90402945
