# IPBES Western_Europe
# Andorra
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
13.01432743 47.47808421
13.03153568 47.50800487
13.04791711 47.57916332
13.0540666 47.65512767
13.03355106 47.69874258
12.98549198 47.70941376
12.92813114 47.71282441
12.89764204 47.72189362
12.90828739 47.74581981
12.95417606 47.80777985
12.95355594 47.89061717
12.84989302 47.98482331
12.7600277 48.07598054
12.76038944 48.1069864
12.81423628 48.16085908
12.89743534 48.20369884
13.08212691 48.27508983
13.1404696 48.28992097
13.2152454 48.3019099
13.32283573 48.33126211
13.37456384 48.36136363
13.40934208 48.39415233
13.45982995 48.56452953
13.47171553 48.5718159
13.48665002 48.58184113
13.67516564 48.52303335
13.69216719 48.53277436
13.7239482 48.54236034
13.7853398 48.58747386
13.79887902 48.62168366
13.79748376 48.68643423
13.80290978 48.74751577
13.81474369 48.76694611
13.84311405 48.75986644
13.9243494 48.72803376
13.98873823 48.6924287
14.04914798 48.60251171
14.18986291 48.57858552
14.36762984 48.5762084
14.43108849 48.61625764
14.48870772 48.62555939
14.5538717 48.61331208
14.69133101 48.59920441
14.70667891 48.67191315
14.78595056 48.74736074
14.82186568 48.77399995
14.92253137 48.77139029
14.94733605 48.82774344
14.97214074 48.98393545
14.99343143 49.00111787
15.06681196 48.99783641
15.13977909 48.96933686
15.16168989 48.94626333
15.1996204 48.94812368
15.25274377 48.963885
15.31093143 48.97401358
15.40291548 48.95737377
15.59944095 48.88639619
15.70077844 48.86042878
15.76501224 48.86544139
15.82521528 48.86445954
16.05724247 48.75480215
16.21929976 48.73940257
16.36730106 48.73898916
16.41484338 48.77208792
16.47788862 48.80012238
16.54351769 48.79624665
16.60098189 48.7818806
16.71270633 48.73423493
16.76448612 48.72203929
16.83321577 48.71428783
16.88365197 48.70369416
16.92830041 48.62090852
16.9531051 48.59884268


# Belgium
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
4.81606815 51.4328299
4.82066735 51.41205598
4.84805586 51.40327098
4.94391564 51.40776683
4.99259484 51.44536144
5.03093875 51.46910676
5.05946415 51.45313874
5.07341678 51.40681082
5.09987512 51.34647858
5.21418338 51.27896332
5.31086999 51.25971385
5.42977746 51.2729947
5.47685469 51.28503531
5.50873905 51.27501008
5.5404167 51.23930166
5.60878462 51.19845144
5.75239343 51.1694868
5.79647342 51.1530537
5.82711755 51.12563935
5.81828088 51.08641694
5.74975793 50.98874848
5.74081791 50.95991303
5.74996463 50.9502237
5.73663211 50.93213695
5.64754195 50.86666291
5.63948042 50.84361522
5.66909102 50.8059431
5.69358748 50.77474234
5.6945675 50.78103506
5.83099328 50.80914704
5.89248823 50.75256135
5.7974036 50.75452505
5.99392907 50.75044261
6.00596968 50.73222667
6.11945112 50.67923249
6.15448775 50.63727123
6.23598148 50.59670523
6.16844038 50.54533885
6.17867232 50.52249787
6.20306359 50.49911428
6.29494429 50.48549754
6.34093631 50.45175283
6.34362349 50.40025727
6.36450077 50.31615388
6.17505497 50.23264476
6.12131148 50.1393688
6.11650557 50.12097199
6.11004601 50.12376252
6.08906538 50.15458751
6.05475223 50.15430329
5.97630741 50.16717072
5.8669084 50.08283478
5.81740238 50.01268403
5.78810184 49.96124014
5.74407352 49.91964061
5.73528853 49.87563813
5.74076623 49.8571638
5.72578006 49.83334097
5.72495324 49.8082779
5.78799849 49.75887523
5.80370812 49.73215852
5.88039595 49.64477367
5.85657311 49.61283763
5.83760786 49.57834361
5.81543867 49.55382315
5.78970381 49.53826854
5.71048384 49.53919872
5.61007653 49.52824331
5.54243208 49.51103506
5.50729211 49.51088003
5.43463504 49.5544691
5.35350305 49.61983979
5.30198164 49.65100068
5.27877892 49.6779241
5.21501021 49.68924124
5.12411136 49.72146149
5.06106611 49.75654979
5.00690921 49.77835725
4.93058312 49.78926097
4.86758955 49.78812409
4.84914107 49.84713858
4.84154463 49.91449881
4.79002323 49.95958649
4.86056156 50.13590648
4.81865197 50.15319225
4.77286665 50.13905874
4.70661747 50.0970458
4.67509484 50.04689383
4.65618127 50.00245209
4.54502526 49.96025829
4.36870528 49.94496206
4.17605554 49.96025829
4.14933882 49.97157543
4.13703983 49.9844687
4.13683312 49.99999746
4.15032067 50.02387198
4.18385868 50.05281078
4.19217858 50.09415192
4.1577104 50.12988618
4.13528283 50.14381297
4.1441195 50.17841035
4.16959598 50.22176687
4.17455692 50.24649405
4.0441256 50.32134736
3.94971276 50.33594595
3.85809045 50.33855561
3.78858565 50.34695303
3.74801965 50.34349071
3.71887414 50.32165742
3.68931522 50.30607697
3.66730106 50.32478384
3.62678674 50.45733389
3.59536747 50.47735851
3.47692508 50.49945018
3.31621138 50.50735668
3.27331994 50.53154125
3.24975549 50.59117585
3.23497603 50.66295441
3.18200768 50.73168407
3.15487756 50.748944
3.10687015 50.77943309
3.02289595 50.76687572
2.92197188 50.72703319
2.86244063 50.71600027
2.83975467 50.71178864
2.75939782 50.75064932
2.66911909 50.8114208
2.59677209 50.87591299
2.57925378 50.91177643
2.60142297 50.95528799
2.5748096 50.98856761
2.53605228 51.04949413
2.52494185 51.0971398
2.96016076 51.26544994
3.2251575 51.35159455
3.35011112 51.37769115
3.38008345 51.29113312
3.40282108 51.26364126
3.43248335 51.24576122
3.47196415 51.24224722
3.51712935 51.26364126
3.58027795 51.28617219
3.68182214 51.27568187
3.75566776 51.25485627
3.78191939 51.23320384
3.83075361 51.21258495
3.90206709 51.20767569
4.03999149 51.24707897
4.17259321 51.30710114
4.21145389 51.34875235
4.22613 51.38647614
4.30447147 51.36151643
4.37371789 51.35598705
4.40400028 51.36709748
4.38477665 51.42761058
4.44089725 51.459805
4.50342573 51.47468781
4.53169274 51.44859121
4.5887952 51.42192617
4.6339604 51.42171947
4.7556584 51.49109508
4.78418379 51.47737499
4.81059045 51.45272533
4.81606815 51.4328299


# Denmark
